zinc_id,smiles
ZINC000000895427,CC(=O)[C@@](C)(O)C(=O)O
ZINC000013542048,CC(=O)NCCC=O
ZINC000078160854,CCCOC(=O)[C@@H](C)S
ZINC000003930556,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COCc1ccccc1
ZINC000000001065,Nc1nc2c(ncn2CC[C@@H](O)CO)c(=O)[nH]1
ZINC000100828526,C[C@@H]1CC(S)=CS1
ZINC000028541771,C=C1CC/C=C(\C)CC[C@@H](C(C)C)C(=O)C1
ZINC000100044499,O=C1CN2CCO[C@]2(c2ccccc2F)c2cc(Cl)ccc2N1CCO
ZINC000008220075,Nc1nc(O)c(N)c(N[C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)n1
ZINC000002037700,C/C=C/C(=O)CCC
ZINC000014489893,C=C(C(=O)OCCCC)[C@H](C)O
ZINC000004096208,O=C(O)C[C@@H](Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O
ZINC000006929723,C[C@H](O)[C@@](C)(O)CN
ZINC000030320937,O=C(O)/C=C\C(=O)CC(=O)CC(=O)O
ZINC000000002211,Cc1nc(C)c(N(C)C)nc1C
ZINC000084410631,O=C(O)[C@@H]1C[C@H](O)CN1C(=O)[C@@H]1C[C@@H](O)CN1
ZINC000000000021,C=CC[C@H]1CN(C)CC[C@@]1(OC(=O)CC)c1ccccc1
ZINC000006394819,CC1(C)[C@H]2CC[C@]1(C)NC2
ZINC000085972327,CC(C)CCCCCCC(C)(C)C
ZINC000002019928,CCCC[C@H](CC)CNC(=O)C[C@H](C)O
ZINC000002047563,CCc1ccc(NC(=O)P(=O)(O)O)cc1
ZINC000040164745,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCCCC
ZINC000034093791,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C1/C[C@H](OC)OC1=O
ZINC000002041225,C=C[C@@H]1CN2CC[C@@H]1C[C@@H]2[C@@H](OC(=O)OCC)c1ccnc2ccc(OC)cc12
ZINC000032166540,CCC1=C(O)C(=O)C[C@H]1C
ZINC000169292495,CO[C@@H](C)[C@H]1C[C@H](C)[C@H]([C@@H](C)/C=C/[C@@H]2CC[C@@H](C)[C@H](/C(=C/[C@H]3CCC[C@@H](C)[C@@H]3[C@H](C)C(=O)C3=C(O)COC3=O)CO)O2)O1
ZINC000012496959,C=C1CC[C@@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@@H]1CC[C@@H]2[C@H](C)C[C@@H](O)CC(C)(C)O
ZINC000015113336,C=COC(=O)/C=C/c1ccc(O)c(O)c1
ZINC000033506618,Oc1cc2c(cc1O)[C@H](O)CNC2
ZINC000030691221,COCOC(=O)[C@@H]1N2C(=O)[C@@H](N3C(=O)[C@H](c4ccccc4)NC3(C)C)[C@H]2SC1(C)C
ZINC000000608152,Cn1c(=O)c2c(ncn2CC(=O)OCC(C)(C)Oc2ccc(Cl)cc2)n(C)c1=O
ZINC000100826429,CC(C)=CCC(=O)c1ccoc1
ZINC000004214532,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)COC(=O)c2cc3ccccc3o2)O1
ZINC000005819403,CCC/C=C/CCC(C)=O
ZINC000004801872,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)C(=O)CC1
ZINC000000607740,CN1CCC[C@@H]1COC(=O)C(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1
ZINC000003869593,O[C@@H]1C=CC=C[C@H]1O
ZINC000014593064,C/C=C/c1cncc(C)n1
ZINC000014642744,COc1cc(OC)c2c(c1)O[C@H](c1ccc3c(c1)OCO3)[C@@H](O)C2
ZINC000004098098,C=C1C(=O)O[C@H]2[C@H]1[C@H](OC(=O)/C(C)=C\C)CC(=C)[C@@H]1[C@H](O)[C@H]3O[C@@]3(C)[C@]21O
ZINC000022058370,O=C(O)[C@H]1O[C@@H](Oc2ccc3c(c2)OC[C@H](c2ccc(O)cc2)C3)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000028866225,Fc1ccc2[nH]cc(-c3nccs3)c2c1
ZINC000014762021,C/C=C/c1ccc(O[C@H](C)[C@H](O)c2ccc(OC)c(OC)c2)c(OC)c1
ZINC000000895845,c1ncc2c(n1)=NCCN=2
ZINC000027324454,NCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
ZINC000006037655,C=C(C)[C@H]1CC[C@H](C)[C@H]1C=O
ZINC000000608045,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1C[C@H](O)CO
ZINC000040473191,N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CO)C(=O)O
ZINC000014883346,CC1=C(CC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O
ZINC000028973446,O=C(O)[C@H]1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
ZINC000025669570,C=C(C)CCC[C@H](C)CCOC(=O)CC(C)C
ZINC000014590536,C[C@](O)(CO)[C@@H](O)CO
ZINC000002392265,CC(C)=CCC(=O)[C@@]1(O)C(O)=C(C(=O)CC(C)C)C(=O)[C@@H]1CC=C(C)C
ZINC000006483721,COc1cc(CCCO)cc2cc(-c3ccc4c(c3)OCO4)oc12
ZINC000013561076,CNC(=O)P(=O)(O)O
ZINC000004212479,Clc1ccccc1C1=NCc2nnc(C3CCCCC3)n2-c2sc(Br)cc21
ZINC000038635145,C=C/C(C)=C/CC(C)(C)/C(=N\O)C(C)C
ZINC000012495985,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3OS(=O)(=O)O
ZINC000039167973,Cc1ccc(C(C)C)o1
ZINC000013374284,CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1c(O)c(C)[n+]([O-])c2ccccc12
ZINC000069485950,CSCC[C@@H](N)C(=O)N[C@@H](C(=O)O)[C@@H](C)O
ZINC000034948948,C[C@@H](Oc1cc(-n2cnc3ccc(OC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl
ZINC000038615568,CCNCc1c(CSC)cnc(C)c1O
