0	1
(+)-(1(10)E,4E,6S,7R)-germacradien-6-ol	C/C/1=C\CC/C(=C/[C@H]([C@H](CC1)C(C)C)O)/C
(+)-(2S,3R,9R)-pristinol	C[C@@H]1CC/C/2=C(/C[C@@H](CC(C[C@@H]12)(C)C)O)\C
(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene	C1C2=C([C@H]([C@H](C=C2)O)O)C3=CC=CC=C31
(+)-(R)-gemacrene A	CC1=CCC/C(=C/C[C@@H](CC1)C(=C)C)/C
(+)-(R)-germacrene A	C/C/1=C\CC/C(=C/C[C@@H](CC1)C(=C)C)/C
(+)-(S)-Carvone	CC1=CC[C@@H](CC1=O)C(=C)C
(+)-(S)-carvone	CC1=CC[C@@H](CC1=O)C(=C)C
(+)-(alphaR,betaS)-guaiacylglycerol-beta-guaiacyl ether	COC1=CC=CC=C1O[C@@H](CO)[C@@H](C2=CC(=C(C=C2)O)OC)O
(+)-(alphaS,betaS)-guaiacylglycerol-beta-guaiacyl ether	COC1=CC=CC=C1O[C@@H](CO)[C@H](C2=CC(=C(C=C2)O)OC)O
(+)-2-carene	CC1=C[C@H]2[C@H](C2(C)C)CC1
(+)-2-carene	CC1=CC2C(C2(C)C)CC1
(+)-2-chloropropionic acid	C[C@H](C(=O)O)Cl
(+)-2-epi-prezizaene	C[C@@H]1CC[C@H]2[C@]13CC[C@H](C3)C(=C)C2(C)C
(+)-3'-hydroxylarreatricin	C[C@H]1[C@H]([C@@H](O[C@H]1C2=CC=C(C=C2)O)C3=CC(=C(C=C3)O)O)C
(+)-5-Chloromuconolactone	C1=CC(=O)OC1C(C(=O)O)Cl
(+)-5-Chloromuconolactone	C1=CC(=O)OC1C(C(=O)[O-])Cl
(+)-5-chloromuconolactone	C1=CC(=O)OC1C(C(=O)[O-])Cl
(+)-5-chloromuconolactone	C1=CC(=O)OC1C(C(=O)O)Cl
(+)-5-deoxystrigol	CC1=C[C@@H](OC1=O)O/C=C/2\[C@H]3CC4=C([C@H]3OC2=O)C(CCC4)(C)C
(+)-5-epi-aristolochene	C[C@@H]1CCCC2=CC[C@H](C[C@]12C)C(=C)C
(+)-5-epiaristolochene	C[C@@H]1CCCC2=CC[C@H](C[C@]12C)C(=C)C
(+)-5-fluoromuconolactone	C1=CC(=O)O[C@H]1[C@H](C(=O)[O-])F
(+)-5-oxo-1,2-campholide	C[C@]12CC(=O)[C@H](C1(C)C)CC(=O)O2
(+)-6-endo-Hydroxycamphor	C[C@@]12[C@@H](C[C@@H](C1(C)C)CC2=O)O
(+)-6-endo-hydroxycamphor	C[C@@]12[C@@H](C[C@@H](C1(C)C)CC2=O)O
(+)-6-exo-hydroxycamphor	C[C@@]12[C@H](C[C@@H](C1(C)C)CC2=O)O
(+)-6-hydroxypinoresinol	COC1=C(C=CC(=C1)C2C3COC(C3CO2)(C4=CC(=C(C=C4)O)OC)O)O
(+)-6a-Hydroxymaackiain	C1[C@]2([C@@H](C3=C(O1)C=C(C=C3)O)OC4=CC5=C(C=C42)OCO5)O
(+)-6a-hydroxymaackiain	C1[C@]2([C@@H](C3=C(O1)C=C(C=C3)O)OC4=CC5=C(C=C42)OCO5)O
(+)-7-Isojasmonic acid	CC/C=C\C[C@H]1[C@H](CCC1=O)CC(=O)O
(+)-7-Isojasmonic acid CoA	CC/C=C\C[C@H]1[C@H](CCC1=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O)O)O
(+)-7-epi-12-hydroxy-12-oxojasmonoyl-L-isoleucine	CC[C@H](C)[C@@H](C(=O)[O-])NC(=O)C[C@H]1CCC(=O)[C@H]1C/C=C\CC(=O)[O-]
